Dataset,Algorithm,Time,Profit,Weight,Match (%)
p01,2-Approx,3.347e-06,309,165,100
p01,DP,1.506e-05,309,165,100
p01,FPTAS,1.6036e-05,309,165,100
p01,BnB,6.205e-06,309,165,100
p01,GA,0.0186919,309,165,100
p02,2-Approx,2.371e-06,47,23,40
p02,DP,4.253e-06,51,26,100
p02,FPTAS,3.276e-06,51,26,100
p02,BnB,6.623e-06,51,26,100
p02,GA,0.0170044,51,26,100
p03,2-Approx,3.207e-06,146,179,66
p03,DP,5.647e-06,150,190,100
p03,FPTAS,5.229e-06,150,190,100
p03,BnB,6.205e-06,150,190,100
p03,GA,0.0183368,150,190,100
p04,2-Approx,4.741e-06,102,48,42
p04,DP,4.741e-06,107,50,100
p04,FPTAS,5.717e-06,107,50,100
p04,BnB,5.299e-06,107,50,100
p04,GA,0.0151464,107,50,100
p05,2-Approx,4.741e-06,858,97,62
p05,DP,4.672e-06,900,104,100
p05,FPTAS,5.159e-06,898,103,62
p05,BnB,1.3246e-05,900,104,100
p05,GA,0.0188822,900,104,100
p06,2-Approx,4.671e-06,1478,140,42
p06,DP,1.3595e-05,1735,169,100
p06,FPTAS,1.3177e-05,1735,169,100
p06,BnB,1.6593e-05,1735,169,100
p06,GA,0.0150161,1735,169,100
p07,2-Approx,4.671e-06,1441,740,86
p07,DP,3.4441e-05,1458,749,100
p07,FPTAS,3.6743e-05,737,377,73
p07,BnB,1.8964e-05,1444,750,46
p07,GA,0.0186594,1451,749,73
p08,2-Approx,4.322e-06,13415886,6323699,83
p08,DP,0.680703,13549094,6402560,100
p08,FPTAS,0.000110936,4375559,2027790,66
p08,BnB,1.4643e-05,13295288,6383099,70
p08,GA,0.0230066,13372182,6395204,66
